link;brand;warranty;processor;ram;hardDrive;grapCard;capGrapCard;opSystem;screenSize;price
https://www.falabella.com.co/falabella-co/product/119518664/Portatil-dell-inspiron-3515-ryzen-5-3450u-15.6-amd-16gb-512gb-ssd-Win-10/119518665;DELL;1 año;AMD ryzen 5;16GB;512GB;;;Windows 10;15;2.099.900
https://www.falabella.com.co/falabella-co/product/118324216/PORTATIL-DELL-LATITUDE-5420-CORE-I7-ONCE-VPRO-,-16GB-,-SSD-512GB-WIN-10-PRO-14/118324217;DELL;12 meses;Intel core i7;16GB;512GB;Inter Iris Xe;;Windows 10;14;6.299.900
https://www.falabella.com.co/falabella-co/product/14471979/Portatil-Lenovo-V145-14Ast-Amd-A6-4Gb-500Gb-Win10/14471979;LENOVO;1 año;Amd a6;4gb;4tb SSD & 500gb HDD;;No aplica;Windows 10 home;14 pulgadas;1.055.000
https://www.falabella.com.co/falabella-co/product/37807734/Portatil-Asus-14-Pulgadas-Intel-Core-I5-4Gb-256Gb/37807734;ASUS;12 meses;Intel core i5;4gb;256gb;;No aplica;Linux;14 pulgadas;2.999.900
https://www.falabella.com.co/falabella-co/product/66990348/Lenovo-3-14ada05-amd-athlon-silver-3050u-14-4gb/66990348;LENOVO;12 meses;Amd;4gb;256gb;;No aplica;De fabricante;14 pulgadas;889.900
https://www.falabella.com.co/falabella-co/product/117435782/Portatil-asus-m1502-ryzen-5-4600h-ram-16gb-ssd-512gb-huella/117435784;ASUS;1 año;AMD ryzen 5;16GB;512GB;AMD Radeon Grafics;No aplica;Linux;15;2.489.000
https://www.falabella.com.co/falabella-co/product/prod12170017/MacBook-Pro-Chip-M1-Pro-512GB-SSD-MK1E3E-A-16.2-Pulgadas/21314318;APPLE;1 año;Chip M1 Pro;16GB;512GB;;No aplica;macOS;16.2 pulgadas;13.528.900
https://www.falabella.com.co/falabella-co/product/120662409/Portatil-HP-15-DW1073LA-Core-i7,-Pantalla-15.6-,-8-GB-Ram/120662410;HP;1 año;Intel core i7;8GB;256GB;;;Windows 11;;2.499.900
https://www.falabella.com.co/falabella-co/product/60835698/Portatil-Lenovo-IdeaPad-1-14-pulgadas-Intel-Core-i3-8GB-512GB/60835698;LENOVO;1 Año;Intel Core i3;8GB;512GB;;No aplica;Windows 11;14 pulgadas;2.119.900
https://www.falabella.com.co/falabella-co/product/60839886/Portatil-Lenovo-Yoga-Slim-7-Pro-14-pulgadas-AMD-Ryzen-R5-16GB-512GB/60839886;LENOVO;1 Año;AMD RYZEN R5;16GB;512GB;;2GB;Windows 11;14 pulgadas;4.999.900
https://www.falabella.com.co/falabella-co/product/66335208/Portatil-Hp-245-G8-Amd-Ryzen-5-5500U-8Gb-256Ssd-14/66335208;HP;12 meses;Amd ryzen r5;8gb;256gb;;No aplica;De fabricante;14.1 pulgadas;1.489.900
https://www.falabella.com.co/falabella-co/product/119444473/Portatil-Asus-M1402ia-ek134-Ryzen-5-4600h-Ram-8gb-Ssd-512gb-Pantalla-14/119444474;ASUS;1 año;AMD ryzen 5;8GB;512GB;AMD radeon r5 graphics;No aplica;Endless os;14;2.199.000
https://www.falabella.com.co/falabella-co/product/120528031/Portatil-Asus-M515DA-EJ1560-Ryzen-5-3500U-Ram-8GB-1-Tera-15,6-FREE-GREY/120528035;ASUS;12 Meses;AMD ryzen 5;8GB;1TB;Integrada;;Free dos;15;1.769.000
https://www.falabella.com.co/falabella-co/product/120754643/Portatil-Asus-Gamer-M3401qc-Ryzen-7-5800H-16Gb-512Ssd-Tv-4gb-3050/120754644;ASUS;12 meses;AMD ryzen 7;16GB;512GB;;4GB;Free dos;14;4.989.888
https://www.falabella.com.co/falabella-co/product/118348413/PORTATIL-GAMER-MSI-GS76-STEALTH-11UH-CORE-I7-11800H-,RAM-32GB-,DISCO-SSD-1TB-RTX-3080-16GB-17.3/118348414;MSI;12 meses;Intel core i7;32GB;1TB;;8GB;Windows 10;17;11.599.900
https://www.falabella.com.co/falabella-co/product/117304549/Portatil-Asus-Vivobook-15-CORE-I5-RAM-8GB-256GB-SSD-15,6-W10H-TOUCH/117304550;ASUS;12 Meses;Intel core i5;8GB;256GB;;No aplica;Windows 10;15;2.819.900
https://www.falabella.com.co/falabella-co/product/23478502/Portatil-Dell-Vostro-Amd-Ryzen5-8Gb-256Ssd-Ubuntu/23478502;DELL;1 año;Amd ryzen r5;6gb;240gb;;No aplica;Linux;14 pulgadas;1.559.999
https://www.falabella.com.co/falabella-co/product/119862160/Portatil-Asus-X415ja-Core-I3-1005g1-Ram-8Gb-SSD-256Gb-14-Gris-Winndows-10/119862163;ASUS;1 año;Intel core i3;8GB;256GB;No aplica;;Windows 10;14;1.489.900
https://www.falabella.com.co/falabella-co/product/120473253/Portatil-ASUS-TUF-F15-FX506LH-Core-i5-32GB-RAM-512GB-SSD-15,6-FHD-4GB-VRAM/120473254;ASUS;12 meses;Intel core i5;32GB;512GB;GeForce GTX 1650 4GB;4GB;Linux;15;3.899.900
https://www.falabella.com.co/falabella-co/product/25023638/Portatil-Acer-Gateway-Core-I3-4gb-128gb-SDD-Win10H/25023638;GATEWAY;12 Meses;Intel Core i3;4GB;128GB;;No aplica;Windows 10;14.1 pulgadas;1.700.000
https://www.falabella.com.co/falabella-co/product/119650736/PORTATIL-ASUS-X1502ZA-BQ243-INTEL-CORE-I5-1240P-8GB-DDR4-512GB-SSD-PANTALLA-15.6-FHD/119650737;ASUS;12 MESES;Intel core i5;8GB;512GB;Intel uhd graphics 600;No aplica;Endless os;15;2.557.300
https://www.falabella.com.co/falabella-co/product/120794693/Combo-Portatil-HP-245-Ryzen-5-16gb-256gb-+-1tb-hdd-14-Win-10-Pro-+-kaspersky/120794696;HP;12 Meses;AMD ryzen 3;16GB;256GB;;No aplica;Windows 10 Pro;14;2.399.900
